species_key	focal_taxid	orthodb_organism_id	top_level_taxid	hop_count	level_taxid	level_name	level_gene_count	level_og_count	level_species_count	path_rank
celegans	6239	6239_0	2759	4	2759	Eukaryota	80663947	742015	5952	0
celegans	6239	6239_0	2759	4	33208	Metazoa	40531522	275697	2506	1
celegans	6239	6239_0	2759	4	6231	Nematoda	964859	55000	79	2
celegans	6239	6239_0	2759	4	119089	Chromadorea	878856	55114	64	3
celegans	6239	6239_0	2759	4	6239	Unknown	0	0	0	4
scerevisiae	4932	4932_0	2759	5	2759	Eukaryota	80663947	742015	5952	0
scerevisiae	4932	4932_0	2759	5	4751	Fungi	25284407	245298	2692	1
scerevisiae	4932	4932_0	2759	5	4890	Ascomycota	15664972	105517	1641	2
scerevisiae	4932	4932_0	2759	5	4891	Saccharomycetes	1498852	11887	297	3
scerevisiae	4932	4932_0	2759	5	4893	Saccharomycetaceae	792169	5211	163	4
scerevisiae	4932	4932_0	2759	5	4932	Unknown	0	0	0	5
fgraminearum	229533	229533_0	2759	6	2759	Eukaryota	80663947	742015	5952	0
fgraminearum	229533	229533_0	2759	6	4751	Fungi	25284407	245298	2692	1
fgraminearum	229533	229533_0	2759	6	4890	Ascomycota	15664972	105517	1641	2
fgraminearum	229533	229533_0	2759	6	147550	Sordariomycetes	5970950	51947	518	3
fgraminearum	229533	229533_0	2759	6	5125	Hypocreales	2941497	34855	251	4
fgraminearum	229533	229533_0	2759	6	110618	Nectriaceae	1729147	32771	119	5
fgraminearum	229533	229533_0	2759	6	229533	Unknown	0	0	0	6
melanogaster	7227	7227_0	2759	10	2759	Eukaryota	80663947	742015	5952	0
melanogaster	7227	7227_0	2759	10	33208	Metazoa	40531522	275697	2506	1
melanogaster	7227	7227_0	2759	10	6656	Arthropoda	14867896	144186	1088	2
melanogaster	7227	7227_0	2759	10	6960	Hexapoda	13158665	82341	989	3
melanogaster	7227	7227_0	2759	10	50557	Insecta	13103758	81851	986	4
melanogaster	7227	7227_0	2759	10	33392	Endopterygota	12106590	69051	914	5
melanogaster	7227	7227_0	2759	10	7147	Diptera	2925880	23858	236	6
melanogaster	7227	7227_0	2759	10	7203	Brachycera	2306288	17480	191	7
melanogaster	7227	7227_0	2759	10	7214	Drosophilidae	1125721	17313	86	8
melanogaster	7227	7227_0	2759	10	7215	Drosophila	1086835	17148	83	9
melanogaster	7227	7227_0	2759	10	7227	Unknown	0	0	0	10
melanogaster	7227	7227_1	2759	10	2759	Eukaryota	80663947	742015	5952	0
melanogaster	7227	7227_1	2759	10	33208	Metazoa	40531522	275697	2506	1
melanogaster	7227	7227_1	2759	10	6656	Arthropoda	14867896	144186	1088	2
melanogaster	7227	7227_1	2759	10	6960	Hexapoda	13158665	82341	989	3
melanogaster	7227	7227_1	2759	10	50557	Insecta	13103758	81851	986	4
melanogaster	7227	7227_1	2759	10	33392	Endopterygota	12106590	69051	914	5
melanogaster	7227	7227_1	2759	10	7147	Diptera	2925880	23858	236	6
melanogaster	7227	7227_1	2759	10	7203	Brachycera	2306288	17480	191	7
melanogaster	7227	7227_1	2759	10	7214	Drosophilidae	1125721	17313	86	8
melanogaster	7227	7227_1	2759	10	7215	Drosophila	1086835	17148	83	9
melanogaster	7227	7227_1	2759	10	7227	Unknown	0	0	0	10
human	9606	9606_0	2759	10	2759	Eukaryota	80663947	742015	5952	0
human	9606	9606_0	2759	10	33208	Metazoa	40531522	275697	2506	1
human	9606	9606_0	2759	10	7742	Vertebrata	21291707	56137	1155	2
human	9606	9606_0	2759	10	32523	Tetrapoda	15216153	47229	896	3
human	9606	9606_0	2759	10	40674	Mammalia	7936901	42608	405	4
human	9606	9606_0	2759	10	9347	Eutheria	7696205	41261	393	5
human	9606	9606_0	2759	10	314146	Euarchontoglires	2927995	34189	146	6
human	9606	9606_0	2759	10	9443	Primates	1099085	25527	57	7
human	9606	9606_0	2759	10	314295	Hominoidea	231750	20784	12	8
human	9606	9606_0	2759	10	9604	Hominidae	137947	19951	7	9
human	9606	9606_0	2759	10	9606	Unknown	0	0	0	10
human	9606	9606_1	2759	10	2759	Eukaryota	80663947	742015	5952	0
human	9606	9606_1	2759	10	33208	Metazoa	40531522	275697	2506	1
human	9606	9606_1	2759	10	7742	Vertebrata	21291707	56137	1155	2
human	9606	9606_1	2759	10	32523	Tetrapoda	15216153	47229	896	3
human	9606	9606_1	2759	10	40674	Mammalia	7936901	42608	405	4
human	9606	9606_1	2759	10	9347	Eutheria	7696205	41261	393	5
human	9606	9606_1	2759	10	314146	Euarchontoglires	2927995	34189	146	6
human	9606	9606_1	2759	10	9443	Primates	1099085	25527	57	7
human	9606	9606_1	2759	10	314295	Hominoidea	231750	20784	12	8
human	9606	9606_1	2759	10	9604	Hominidae	137947	19951	7	9
human	9606	9606_1	2759	10	9606	Unknown	0	0	0	10
