path	type	status	imported_by	reads_from	writes_to	protocol_role	recommendation	notes
configs/frozen_protocol.yaml	config	mainline	workflow/frozen_protocol_benchmark.smk	data/processed/*;results/frozen_protocol/*	results/frozen_protocol/*;outputs/frozen_protocol_benchmark_v2/*	mainline_protocol_config	keep	Repo-local protocol definition with explicit Fusarium regimes; current Fusarium label sources are materialized under data/processed/essential_gene/fgraminearum/*.
workflow/frozen_protocol_benchmark.smk	workflow	mainline	scripts/run_frozen_protocol_benchmark.sh	configs/frozen_protocol.yaml	results/frozen_protocol/summary/*	mainline_workflow	keep	Authoritative benchmark workflow going forward.
scripts/run_frozen_protocol_benchmark.sh	shell	mainline	user/workflow	configs/frozen_protocol.yaml	workflow execution	mainline_entrypoint	keep	Authoritative CLI entry point.
src/data/freeze_unified_protocol.py	python	mainline	workflow/frozen_protocol_benchmark.smk	configs/frozen_protocol.yaml;data/processed/essential_gene/*	results/frozen_protocol/labels/*;results/frozen_protocol/splits/*	frozen_input_builder	keep	Builds explicit old/new Fusarium manifests and splits from materialized processed labels.
src/data/frozen_protocol_loader.py	python	mainline	src/train/run_frozen_protocol_model.py	configs/frozen_protocol.yaml;data/processed/PPI/*;data/processed/OR/*;data/processed/EXP/*;data/processed/LC/*;results/frozen_protocol/*	in-memory bundle	unified_loader	keep	Authoritative dataset loading contract.
src/train/run_frozen_protocol_model.py	python	mainline	workflow/frozen_protocol_benchmark.smk	results/frozen_protocol/*;data/processed/*	outputs/frozen_protocol_benchmark_v2/*	mainline_model_runner	keep	Uses the frozen loader and explicit protocol names.
src/eval/aggregate_frozen_protocol_runs.py	python	mainline	workflow/frozen_protocol_benchmark.smk	outputs/frozen_protocol_benchmark_v2/*	results/frozen_protocol/summary/*	mainline_summary_aggregator	keep	Aggregates mean ± std over frozen-protocol runs.
results/frozen_protocol/labels/fgraminearum_newlabel.tsv	manifest	mainline	src/data/frozen_protocol_loader.py	data/processed/essential_gene/fgraminearum/newlabel/positive_genes.tsv;data/processed/essential_gene/fgraminearum/newlabel/negative_genes.tsv	n/a	fusarium_mainline_label_manifest	keep	Intended new mainline Fusarium regime built from materialized processed labels.
results/frozen_protocol/labels/fgraminearum_oldlabel.tsv	manifest	legacy_replay	src/data/frozen_protocol_loader.py	data/processed/essential_gene/fgraminearum/oldlabel/positive_genes.tsv;data/processed/essential_gene/fgraminearum/oldlabel/negative_genes.tsv	n/a	fusarium_legacy_label_manifest	keep	Explicit historical comparison regime built from materialized processed labels.
results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	manifest	mainline	src/data/frozen_protocol_loader.py	results/frozen_protocol/labels/fgraminearum_newlabel.tsv	n/a	fusarium_mainline_split_manifest	keep	Mainline frozen split for the new regime.
results/frozen_protocol/splits/fgraminearum_oldlabel_split.tsv	manifest	legacy_replay	src/data/frozen_protocol_loader.py	results/frozen_protocol/labels/fgraminearum_oldlabel.tsv	n/a	fusarium_legacy_split_manifest	keep	Legacy replay split only.
results/frozen_protocol/splits/fgraminearum_split.tsv	manifest	deprecated	legacy frozen outputs	previous frozen protocol trial	n/a	ambiguous_old_output	remove_candidate	Old ambiguous split name; not part of the new contract.
workflow/classical_baseline_benchmark.smk	workflow	legacy_replay	scripts/run_classical_baseline_benchmark.sh	data_registry;internal split logic	results/classical_baseline_benchmark/*	transition_workflow	archive_candidate	Useful for comparison but not publication mainline.
workflow/phase2a_fixed300_multirun.smk	workflow	legacy_replay	scripts/run_phase2a_fixed300_multirun.sh	internal split logic;legacy configs	results/phase2a_*	transition_graph_workflow	archive_candidate	Historical multi-species benchmark path.
workflow/fgraminearum_feature_combo_newlabel_benchmark.smk	workflow	deprecated	scripts/run_fgraminearum_feature_combo_newlabel_benchmark.sh	results/label_rebuild_experiments/*;old440 comparison	results/phase2b_new_label/*	fusarium_only_comparison	archive_candidate	Not part of the new multi-species mainline.
workflow/fgraminearum_feature_combo_benchmark.smk	workflow	deprecated	scripts/run_fgraminearum_feature_combo_benchmark.sh	old440 benchmark assets	results/fgraminearum_feature_combo_analysis/*	fusarium_only_comparison	archive_candidate	Old comparison-only workflow.
src/train/run_label_rebuild_compare.py	python	deprecated	manual/configs/label_rebuild_compare.yaml	outputs/baseline_dataset/*;data_registry/master_evidence_table.preliminary.tsv;external yeast labels	results/label_rebuild_experiments/*	label_reconstruction_provenance	archive_candidate	Legacy historical experiment only; outputs under results/label_rebuild_experiments are archival and not mainline inputs.
src/train/run_old440_diagnostic.py	python	deprecated	manual/results comparison	data_registry/master_label_table.preliminary.tsv;results/label_rebuild_experiments/labels/*	results/label_rebuild_experiments/old440/*	old440_replay	archive_candidate	Legacy historical diagnostic only; kept for archive/provenance, not for current mainline inputs.
src/eval/evaluate_graph_model.py	python	deprecated	legacy graph prototype	outputs/baseline_dataset/fgraminearum_broad79.tsv;strict29;conflict8	results graph ranking eval	ranking_only_eval	deprecated	Still explicitly ranking-only.
src/data/build_baseline_dataset.py	python	deprecated	legacy baseline paths	data_registry;ranking subset inputs	outputs/baseline_dataset/*	ranking_protocol_builder	deprecated	Builds broad79/strict29/conflict8 artifacts.
src/data/gene_graph_adapter.py	python	deprecated	legacy graph prototype	outputs/baseline_dataset/fgraminearum_broad79.tsv;strict29;conflict8	adapted graph artifacts	ranking_graph_adapter	deprecated	Coupled to deprecated ranking subsets.
configs/label_rebuild_compare.yaml	config	deprecated	src/train/run_label_rebuild_compare.py	outputs/baseline_dataset/*;data_registry;absolute external yeast labels	results/label_rebuild_experiments/*	label_rebuild_config	archive_candidate	Contains a hard-coded absolute path and deprecated inputs.
data_registry/master_evidence_table.preliminary.tsv	data	legacy_only	legacy label rebuild code	data_registry source tables	n/a	legacy_provenance_source	keep_for_archive	Mirrored to data/interim/protocol_refactor for provenance only.
data/interim/protocol_refactor/master_evidence_table.preliminary.tsv	data	archive_compatible	docs/protocol_refactor/data_root_migration.md	data_registry/master_evidence_table.preliminary.tsv	n/a	provenance_mirror	keep	Temporary in-repo mirror created during this refactor.
