protocol	species	gene_set	space	n	mean	std	variance
fgraminearum_newlabel	fgraminearum	high_confidence_rescued	bio_input	12	0.07222222222222223	0.06916610887771518	0.004783950617283952
fgraminearum_newlabel	fgraminearum	high_confidence_rescued	bio_esm2_input	12	0.29444444444444445	0.10700755713476791	0.011450617283950618
fgraminearum_newlabel	fgraminearum	high_confidence_rescued	bio_hidden	12	0.06666666666666667	0.07200822998230956	0.005185185185185186
fgraminearum_newlabel	fgraminearum	high_confidence_rescued	bio_esm2_hidden	12	0.35000000000000003	0.11587029785896782	0.013425925925925924
fgraminearum_newlabel	fgraminearum	not_rescued	bio_input	183	0.2568306010928962	0.2056291244378198	0.04228333681706438
fgraminearum_newlabel	fgraminearum	not_rescued	bio_esm2_input	183	0.2808743169398907	0.15943803288062824	0.025420486328844295
fgraminearum_newlabel	fgraminearum	not_rescued	bio_hidden	183	0.41238615664845174	0.2764895326962156	0.07644646169057168
fgraminearum_newlabel	fgraminearum	not_rescued	bio_esm2_hidden	183	0.3806921675774134	0.23939055757958508	0.057307839058264635
fgraminearum_newlabel	fgraminearum	seed_specific_rescued	bio_input	13	0.0923076923076923	0.11558387353420149	0.013359631821170285
fgraminearum_newlabel	fgraminearum	seed_specific_rescued	bio_esm2_input	13	0.22564102564102567	0.09970370305242862	0.009940828402366864
fgraminearum_newlabel	fgraminearum	seed_specific_rescued	bio_hidden	13	0.1487179487179487	0.12026707076470332	0.014464168310322155
fgraminearum_newlabel	fgraminearum	seed_specific_rescued	bio_esm2_hidden	13	0.3025641025641026	0.15384615384615385	0.02366863905325444
fgraminearum_newlabel	fgraminearum	stable_rescued	bio_input	11	0.0606060606060606	0.06639061303092923	0.00440771349862259
fgraminearum_newlabel	fgraminearum	stable_rescued	bio_esm2_input	11	0.21818181818181823	0.09030099651970508	0.00815426997245179
fgraminearum_newlabel	fgraminearum	stable_rescued	bio_hidden	11	0.10303030303030303	0.09151314466994849	0.008374655647382922
fgraminearum_newlabel	fgraminearum	stable_rescued	bio_esm2_hidden	11	0.2545454545454545	0.11305914003744019	0.012782369146005513
scerevisiae	scerevisiae	high_confidence_rescued	bio_input	10	0.3	0.08027729719194864	0.0064444444444444445
scerevisiae	scerevisiae	high_confidence_rescued	bio_esm2_input	10	0.21333333333333332	0.15719768163402129	0.024711111111111114
scerevisiae	scerevisiae	high_confidence_rescued	bio_hidden	10	0.18666666666666668	0.12927146286443544	0.016711111111111114
scerevisiae	scerevisiae	high_confidence_rescued	bio_esm2_hidden	10	0.5533333333333335	0.1839081896551163	0.033822222222222226
scerevisiae	scerevisiae	not_rescued	bio_input	187	0.36577540106951867	0.201993427326407	0.040801344683068466
scerevisiae	scerevisiae	not_rescued	bio_esm2_input	187	0.35614973262032085	0.19488993232172916	0.037982085720368174
scerevisiae	scerevisiae	not_rescued	bio_hidden	187	0.47593582887700536	0.2740677506541308	0.07511313194861481
scerevisiae	scerevisiae	not_rescued	bio_esm2_hidden	187	0.467379679144385	0.2668439076589163	0.07120567105468024
scerevisiae	scerevisiae	seed_specific_rescued	bio_input	7	0.17142857142857143	0.14190156595953657	0.020136054421768707
scerevisiae	scerevisiae	seed_specific_rescued	bio_esm2_input	7	0.3904761904761905	0.16106223357416918	0.025941043083900227
scerevisiae	scerevisiae	seed_specific_rescued	bio_hidden	7	0.18095238095238095	0.19424836242258228	0.03773242630385487
scerevisiae	scerevisiae	seed_specific_rescued	bio_esm2_hidden	7	0.3238095238095238	0.22657861434991086	0.05133786848072563
scerevisiae	scerevisiae	stable_rescued	bio_input	6	0.25555555555555554	0.14098419489388359	0.019876543209876547
scerevisiae	scerevisiae	stable_rescued	bio_esm2_input	6	0.2111111111111111	0.09749960430435692	0.009506172839506175
scerevisiae	scerevisiae	stable_rescued	bio_hidden	6	0.19999999999999998	0.10886621079036347	0.011851851851851851
scerevisiae	scerevisiae	stable_rescued	bio_esm2_hidden	6	0.5111111111111112	0.2096440251568134	0.04395061728395062
