comparison_group	metric	value	status
Shared_top500	n_genes	237.0	available
Shared_top500	known_essential_fraction	0.9216589861751152	available
Shared_top500	mean_ppi_degree	664.1434599156119	available
Shared_top500	median_ppi_degree	628.0	available
Shared_top500	mean_orthology_support	0.8474371524514913	available
Shared_top500	mean_expression_percentile	0.4997923021540308	available
Shared_top500	mean_subcellular_signal	0.7523848961897289	available
Shared_top500	mean_rank_gain	-6.172995780590718	available
Shared_top500	mean_delta_score	-0.0016099925566522356	available
ESM2_unique_top500	n_genes	263.0	available
ESM2_unique_top500	known_essential_fraction	0.7647058823529411	available
ESM2_unique_top500	mean_ppi_degree	281.6653992395437	available
ESM2_unique_top500	median_ppi_degree	258.0	available
ESM2_unique_top500	mean_orthology_support	0.31946018261570375	available
ESM2_unique_top500	mean_expression_percentile	0.3524240638685162	available
ESM2_unique_top500	mean_subcellular_signal	0.705146089451168	available
ESM2_unique_top500	mean_rank_gain	1175.6425855513307	available
ESM2_unique_top500	mean_delta_score	0.08904959902444809	available
Baseline_unique_top500	n_genes	263.0	available
Baseline_unique_top500	known_essential_fraction	0.5135135135135135	available
Baseline_unique_top500	mean_ppi_degree	619.2395437262358	available
Baseline_unique_top500	median_ppi_degree	534.0	available
Baseline_unique_top500	mean_orthology_support	0.4510300674162898	available
Baseline_unique_top500	mean_expression_percentile	0.45771297827075913	available
Baseline_unique_top500	mean_subcellular_signal	0.7996715906351162	available
Baseline_unique_top500	mean_rank_gain	-1240.463878326996	available
Baseline_unique_top500	mean_delta_score	-0.09575610968301279	available
Neither	n_genes	12259.0	available
Neither	known_essential_fraction	0.053242381289865345	available
Neither	mean_ppi_degree	85.95741903907333	available
Neither	median_ppi_degree	24.0	available
Neither	mean_orthology_support	0.22367790030184548	available
Neither	mean_expression_percentile	0.5041180506001195	available
Neither	mean_subcellular_signal	0.7380396882093109	available
Neither	mean_rank_gain	1.5099926584550127	available
Neither	mean_delta_score	0.0001750045304779491	available
